0.78175,0.92399,0.96581,1
0.78931,0.92399,0.96581,1
0.81224,0.92399,0.96581,1
0.81224,0.92399,0.9743,1
0.81996,0.92399,0.9743,1
0.82773,0.9406,0.98283,1
0.83553,0.9406,0.98283,1
0.84337,0.9406,0.98283,1
0.85125,0.95737,1,1
0.85917,0.95737,1,1
0.86714,0.95737,1,1
0.87514,0.95737,1,1
0.88318,0.95737,1,1
0.89126,0.95737,1,1
0.89126,0.96581,1,1
0.89938,0.96581,1,1
0.88318,0.9743,1,1
0.89126,0.9743,1,1
0.91575,0.9743,1,1
0.92399,0.9743,1,1
0.93228,0.9743,1,1
0.9406,0.98283,1,1
0.9406,0.98283,1,1
0.94896,0.98283,1,1
0.94896,0.98283,0.99139,1
0.93228,1,0.99139,1
0.9406,1,0.99139,1
0.96581,0.99139,0.99139,1
0.9743,0.99139,0.99139,1
0.98283,0.99139,0.99139,1
1,1,1,0
1,1,0.99139,1
0.99139,0.98283,0.96581,1
1,1,0.9743,1
1,1,0.96581,1
1,0.99139,0.95737,1
1,0.99139,0.94896,1
0.99139,0.98283,0.93228,1
0.99139,0.98283,0.92399,1
0.99139,0.98283,0.91575,1
0.98283,0.98283,0.90755,1
0.98283,0.98283,0.89938,1
0.98283,0.98283,0.89126,1
0.98283,0.9743,0.87514,1
0.98283,0.9743,0.86714,1
0.98283,0.98283,0.86714,1
0.98283,0.99139,0.85125,1
0.9743,0.9743,0.84337,1
0.9743,0.98283,0.83553,1
0.96581,0.96581,0.81996,1
0.96581,0.96581,0.81224,1
0.96581,0.96581,0.80456,1
0.96581,0.96581,0.79692,1
0.96581,0.96581,0.78931,1
0.96581,0.96581,0.78175,1
0.96581,0.96581,0.77423,1
0.96581,0.96581,0.76674,1
0.9743,0.95737,0.7593,1
0.9743,0.95737,0.7519,1
0.98283,0.94896,0.7372,1
0.89938,1,0.71547,1
